id,title,issuer,doc_date,doc_type,doc_type_code,doc_number,topic_primary,topic_secondary,level,province,summary,binding_phrases,evidence_url,evidence_strength
POL-011,福建省国资委实施五大行动推动所出资企业向新向优发展,福建省国资委,2026-03-27,工作要点,C,,主责主业管理,,省级,福建,福建省国资委部署五大行动推动向新向优发展，具体内容涉及主责主业聚焦等。,行动;推动,http://www.sasac.gov.cn/n2588025/n2588129/c35387981/content.html,S3-新闻通稿
POL-012,宁波市国资委部署三提行动推动国资国企高质量发展,宁波市国资委,2026-04-01,工作要点,C,,主责主业管理,,地级市,浙江,宁波市国资委部署三提行动（提质/提速/提效），推动国资国企高质量发展。,行动;部署,http://www.sasac.gov.cn/n2588025/n2588129/c35391405/content.html,S3-新闻通稿
POL-013,关于印发《关于市管企业规范实施股权和分红激励工作的指导意见》的通知,北京市国资委,2021-09-02,正式规范性文件,A,京国资发〔2021〕20号,收益分配,股权激励;分红激励,省级,北京,面向市管企业建立股权和分红激励制度，明确适用范围、激励额度、业绩条件和监督追责机制，推动中长期激励与绩效约束联动。,应当;不得;激励额度;业绩考核;追回收益,https://gzw.beijing.gov.cn/xxfb/2024zcwj/202405/t20240521_3689624.html,S1-正式令文全文公开
POL-014,北京市人民政府国有资产监督管理委员会关于印发《北京市市管企业工资总额管理办法》的通知,北京市国资委,2019-07-24,正式规范性文件,A,京国资发〔2019〕13号,收益分配,工资总额预算管理,省级,北京,建立工资总额预算管理和工资效益联动机制，按企业类型分类管理工资总额，强调人工成本约束、清算评价和违规追责。,应当;不得;预算管理;工资效益联动;监督检查,https://gzw.beijing.gov.cn/xxfb/2024zcwj/202406/t20240604_3704165.html,S1-正式令文全文公开
POL-015,关于印发《关于进一步深化劳动用工、收入分配改革的实施意见》的通知,北京市国资委,2021-11-12,正式规范性文件,A,京国资发〔2021〕28号,收益分配,劳动用工;中长期激励,省级,北京,围绕工资总额闭环管理、市场化薪酬分配、中长期激励和超额利润分享推进市管企业收入分配改革，并纳入经营业绩考核。,应当;绩效挂钩;工资总额;超额利润分享;备案,https://gzw.beijing.gov.cn/xxfb/2024zcwj/202405/t20240521_3689628.html,S1-正式令文全文公开
POL-016,市国资委关于延长《关于市国资委监管企业工资决定机制改革的实施办法》有效期的通知,上海市国资委,2024-04-16,正式规范性文件,A,沪国资委法规〔2024〕75号,收益分配,工资决定机制,省级,上海,经评估将监管企业工资决定机制改革实施办法有效期延长至2029年4月18日，继续维持工资与效益联动的制度框架。,继续实施;有效期延长;工资决定机制,https://www.gzw.sh.gov.cn/zcwj_gfxwj/20240416/ffa47eea78054b43bc41a81f69fb846d.html,S1-正式令文全文公开
POL-017,关于做好市国资委监管企业2025年度预算报告工作的通知,上海市国资委,2025-01-07,通知/方案,B,,预算管理,全面预算管理;人工成本预算,省级,上海,要求监管企业按合并口径编制年度预算，统筹业务投资资金和薪酬预算，强调工资总额必须按工资决定机制与效益联动确定。,预算管理;人工成本预算;效益导向;备案告知,https://www.gzw.sh.gov.cn/shgzw_xxgk_zxgkxx/20250107/600e1023f605446fb00bdebe272ff1e4.html,S1-正式文件全文公开
POL-018,市国资委关于做好2025年度国有企业财务决算工作的通知,上海市国资委,2026-01-20,通知/方案,B,沪国资委评价〔2026〕21号,财务监督,财务决算;工资决定机制,省级,上海,部署年度财务决算报送与审计安排，要求同步报送工资决定机制改革实施情况说明，并通过决算数据排查经营风险和管理漏洞。,应当;报送;审计;工资决定机制,https://www.gzw.sh.gov.cn/shgzw_xxgk_zxgkxx/20260126/790cd397c6074e2b80f8abb216b7593e.html,S1-正式文件全文公开
POL-019,关于加强江西省企业国有资产评估管理工作有关问题的通知,江西省国资委,2022-11-24,正式规范性文件,A,,产权管理,资产评估管理,省级,江西,江西省国资委规范性文件目录公开列示该通知，表明省级国资委对企业国有资产评估管理作出专门制度安排，正文链接待继续补抓。,通知;资产评估;国有资产管理,http://gzw.jiangxi.gov.cn/jxsgzw/gfxwj121/pc/list.html,S3-规范性文件目录页可见
POL-020,关于加强省属国有经营性资产评估监督管理若干问题的通知,江西省国资委,2022-11-24,正式规范性文件,A,,产权管理,经营性资产监督,省级,江西,江西省国资委规范性文件目录公开列示该通知，重点涉及省属经营性资产评估监督管理，正文链接待继续补抓。,监督管理;资产评估;经营性资产,http://gzw.jiangxi.gov.cn/jxsgzw/gfxwj121/pc/list.html,S3-规范性文件目录页可见
POL-021,关于印发《江西省国资委出资监管企业高风险投资业务管理指引（暂行）》的通知,江西省国资委,2022-11-24,正式规范性文件,A,,风险防范,投资管理,省级,江西,江西省国资委规范性文件目录公开列示该指引，覆盖出资监管企业高风险投资业务约束和管理要求，正文链接待继续补抓。,管理指引;高风险投资;监管企业,http://gzw.jiangxi.gov.cn/jxsgzw/gfxwj121/pc/list.html,S3-规范性文件目录页可见
POL-022,关于《支持省属监管企业科技创新和发展战略性新兴产业激励保障机制》的政策条目,湖南省国资委,2024-02-20,政策解读,B,,收益分配,激励保障机制,省级,湖南,湖南省国资委政策法规目录公开列示该激励保障机制相关条目，说明省属监管企业科技创新和战略性新兴产业已纳入专项激励保障安排，正文链接待继续补抓。,激励保障;科技创新;战略性新兴产业,http://gzw.hunan.gov.cn/gzw/xxgk_71571/zcfg/index.html,S3-政策法规目录页可见
